id,asking_price,body_corp,internal_m2,balcony_m2,beds,north_facing,suburb,has_parking,has_storage,has_solar,near_shops,livability,condition,has_cladding,outdoor_space,sold_date,travel_time_mins
1,689000,2276,102.5,1.8,2,False,Melbourne CBD,True,False,False,False,15,good,False,True,,5
2,519000,2089,87.3,12.4,2,False,Sunbury,False,False,False,True,9,good,True,True,,47
3,610000,2877,110.9,7.9,3,True,Sunbury,True,True,False,True,9,needs TLC,False,True,,52
4,658000,2334,115.9,13.1,3,True,Werribee,True,False,False,False,8,good,False,False,,47
5,538000,2297,82.7,0.4,1,False,Melbourne CBD,False,True,True,True,15,new,False,False,,9
6,639000,1943,99.0,8.7,2,False,Carlton,False,False,False,True,18,new,False,False,,19
7,432000,2140,78.8,10.2,1,True,Werribee,False,True,True,True,8,needs TLC,False,False,,46
8,654000,2076,92.1,11.7,2,True,Balwyn,False,False,False,True,22,good,False,False,,15
9,786000,1585,115.2,20.0,3,False,Melbourne CBD,True,False,False,True,15,new,False,True,,10
10,720000,1317,124.0,15.2,4,False,Sunbury,False,True,False,True,9,needs TLC,False,True,,46
11,500000,2294,90.1,7.3,2,True,Sunbury,False,True,False,True,9,good,False,False,,56
12,536000,3477,65.5,3.2,1,False,Richmond,False,True,False,True,16,good,False,False,,8
13,521000,2295,64.8,8.9,1,False,Carlton,True,True,False,True,18,good,False,False,2025-06-30,26
14,631000,2092,84.1,16.3,2,True,Carlton,False,False,False,True,18,good,False,False,,27
15,571000,2170,75.7,11.2,1,False,Footscray,False,True,False,False,10,good,False,True,,5
16,870000,3002,132.4,17.0,4,True,Carlton,False,True,False,True,18,new,False,True,,18
17,649000,2389,92.7,0.7,2,True,Melbourne CBD,False,False,False,True,15,good,False,False,2025-07-07,7
18,628000,3477,94.2,0.8,2,True,St Kilda,False,False,True,True,20,good,False,False,,5
19,555000,1375,78.5,6.1,1,True,Brunswick,True,True,True,True,12,good,False,True,,16
20,646000,3455,89.2,9.6,2,False,Brunswick,True,True,False,True,12,new,False,True,,16
21,559000,2358,78.6,2.4,1,False,Footscray,False,True,False,True,10,needs TLC,False,True,,13
22,657000,3236,92.0,0.8,2,False,St Kilda,True,True,False,True,20,good,False,False,,19
23,421000,2022,109.0,10.2,2,False,Geelong,True,False,False,True,11,needs TLC,False,False,2025-07-07,77
24,558000,1496,80.8,0.1,1,False,Balwyn,False,False,False,False,22,good,False,True,,22
25,541000,2243,79.9,3.5,1,False,Balwyn,True,False,False,True,22,new,False,False,,25
26,596000,2340,101.5,13.3,2,True,Box Hill,True,True,False,True,14,needs TLC,False,True,,27
27,641000,2997,96.6,12.2,2,False,Carlton,False,True,False,True,18,new,False,False,,13
28,433000,1723,62.2,1.7,1,True,Sunbury,False,False,True,False,9,needs TLC,False,False,,35
29,873000,2518,136.1,15.8,4,True,Melbourne CBD,True,False,False,False,15,good,True,True,,13
30,502000,1793,64.6,0.6,1,False,Carlton,False,False,False,False,18,new,False,True,,5
31,654000,1667,108.3,9.0,3,True,Werribee,False,False,False,True,8,good,True,False,,28
32,755000,1807,110.2,9.3,3,False,Balwyn,False,False,True,False,22,good,False,False,2025-06-30,14
33,888000,3446,134.0,13.7,4,True,Richmond,True,True,False,True,16,good,False,True,,30
34,490000,3362,86.1,5.7,2,True,Werribee,False,False,False,True,8,good,False,False,,38
35,646000,2254,115.8,9.1,2,False,Brunswick,True,False,False,True,12,needs TLC,False,True,,28
36,527000,2014,77.9,6.6,1,True,Box Hill,False,True,False,False,14,good,False,False,,29
37,528000,2479,114.4,10.2,2,False,Werribee,True,False,True,True,8,good,False,True,2025-06-30,36
38,813000,2085,107.2,7.6,3,False,Carlton,True,True,False,True,18,good,False,True,2025-06-30,24
39,509000,763,80.1,5.3,1,True,Richmond,True,False,False,True,16,good,False,True,,23
40,428000,2377,100.3,9.9,2,False,Geelong,True,False,False,False,11,good,False,False,2025-07-07,74
41,630000,2643,95.4,4.2,2,True,Balwyn,False,False,False,True,22,new,False,False,2025-06-30,30
42,626000,2418,105.7,14.2,2,False,Carlton,False,False,False,True,18,good,False,False,,11
43,839000,1431,137.0,21.1,4,False,St Kilda,True,False,False,False,20,good,False,True,,5
44,526000,1188,99.3,11.8,2,True,Werribee,True,False,False,False,8,needs TLC,False,False,,44
45,682000,1828,91.5,8.2,2,True,Footscray,True,False,False,True,10,needs TLC,False,False,,19
46,622000,1531,92.5,6.6,2,True,Melbourne CBD,True,False,False,False,15,good,False,True,,10
47,850000,3308,121.2,12.8,4,True,Carlton,True,True,False,True,18,good,False,True,,10
48,568000,2151,94.9,3.5,2,True,Box Hill,True,False,False,False,14,good,False,True,,22
49,419000,2099,114.1,10.1,2,False,Geelong,True,False,False,False,11,needs TLC,False,True,,73
50,695000,2052,91.3,5.9,2,True,Richmond,False,True,True,True,16,new,False,False,,17
51,374000,1653,74.5,13.2,1,True,Sunbury,True,False,True,True,9,needs TLC,True,False,,40
52,607000,2142,100.5,6.2,2,True,Brunswick,True,False,False,True,12,good,False,True,,9
53,733000,2294,119.4,11.1,3,True,Balwyn,True,True,False,True,22,good,False,False,,25
54,535000,1664,89.4,10.6,1,True,Balwyn,False,False,False,False,22,good,False,True,,19
55,641000,2404,100.1,11.7,2,True,Box Hill,True,True,False,False,14,good,False,False,2025-06-30,30
56,510000,2236,96.6,2.5,2,False,Sunbury,True,True,False,True,9,new,False,False,,51
57,642000,2434,89.0,1.7,2,False,Footscray,True,False,False,False,10,good,False,False,,21
58,631000,1453,105.3,13.5,2,False,Balwyn,True,True,False,True,22,good,False,False,2025-06-30,21
59,659000,1502,105.9,9.6,3,False,Werribee,False,False,False,True,8,good,False,False,,52
60,618000,2004,92.0,4.2,2,True,Footscray,False,True,False,True,10,good,False,True,,10
61,631000,1906,89.3,12.8,2,True,Box Hill,True,True,True,True,14,good,False,False,,22
62,610000,2698,94.5,8.4,2,True,Brunswick,True,False,False,True,12,good,False,False,2025-07-07,11
63,432000,2335,73.2,7.5,1,False,Werribee,False,False,True,True,8,good,False,True,2025-07-07,40
64,711000,2012,110.5,10.0,3,False,Balwyn,False,False,False,True,22,good,False,False,,23
65,942000,1554,133.2,5.6,4,True,Melbourne CBD,True,False,False,False,15,needs TLC,False,True,,12
66,692000,2271,80.0,6.4,2,False,Richmond,True,False,False,True,16,good,False,True,,7
67,699000,2147,97.5,10.9,2,True,Richmond,True,False,False,True,16,good,False,False,,5
68,467000,2471,78.1,10.2,1,False,St Kilda,True,True,False,False,20,good,False,False,,5
69,605000,2046,134.1,11.8,4,True,Geelong,True,True,False,True,11,good,False,True,,59
70,796000,2478,111.7,4.9,3,True,Richmond,True,False,False,True,16,good,False,False,,18
71,634000,2988,102.0,15.4,2,False,Brunswick,False,False,False,False,12,good,False,True,,31
72,666000,1975,95.0,9.7,2,False,St Kilda,True,True,False,False,20,needs TLC,False,False,,21
73,654000,2445,100.0,9.7,2,False,Carlton,False,False,False,True,18,good,False,False,,16
74,649000,2791,98.9,5.4,2,False,Carlton,False,False,False,True,18,good,False,True,,13
75,744000,2077,127.4,14.2,4,False,Sunbury,True,False,False,True,9,good,False,False,2025-07-07,38
76,694000,2163,91.3,13.7,2,True,Richmond,False,False,True,False,16,new,False,False,2025-06-30,9
77,569000,2346,97.5,5.1,1,True,Brunswick,False,True,False,True,12,new,False,True,,28
78,643000,1806,95.1,12.0,2,False,Richmond,True,True,False,False,16,good,False,True,,16
79,741000,2982,120.6,5.2,3,True,Richmond,False,False,False,False,16,new,False,True,2025-07-07,8
80,569000,1750,67.1,10.3,1,False,Melbourne CBD,True,False,False,True,15,new,False,False,2025-07-07,12
81,755000,2222,113.7,18.4,3,False,Box Hill,False,False,False,True,14,new,False,True,2025-06-30,25
82,502000,2777,83.2,13.2,1,True,Balwyn,False,False,False,False,22,needs TLC,False,True,,24
83,714000,3674,102.9,7.1,3,False,Box Hill,True,True,False,True,14,good,False,False,,18
84,749000,1407,116.2,13.8,3,False,Richmond,False,True,True,True,16,needs TLC,False,True,,18
85,435000,3376,92.9,11.8,2,True,Geelong,False,True,True,True,11,good,False,True,,85
86,503000,2378,109.3,7.6,3,False,Geelong,True,False,False,True,11,new,False,False,,88
87,755000,1659,125.3,14.1,3,False,Footscray,True,False,False,False,10,new,False,True,,23
88,605000,2215,95.7,9.6,2,True,Carlton,True,True,False,True,18,good,False,True,,7
89,685000,3110,133.6,4.2,4,False,Sunbury,False,False,False,True,9,good,False,True,2025-06-30,55
90,722000,2130,121.4,9.8,3,False,Box Hill,False,False,False,True,14,needs TLC,False,False,,25
91,525000,2916,88.0,9.8,1,False,St Kilda,True,False,True,False,20,good,False,True,,14
92,614000,2354,91.5,6.0,2,False,Box Hill,False,False,False,True,14,needs TLC,False,True,2025-07-07,8
93,640000,533,75.2,3.0,2,False,Footscray,True,False,False,True,10,good,False,True,2025-07-07,27
94,473000,2186,104.5,4.2,2,False,Sunbury,True,False,False,True,9,new,False,True,,43
95,885000,2594,138.3,21.3,4,False,Richmond,False,False,False,True,16,good,False,False,,18
96,534000,2537,82.3,7.5,1,False,Carlton,True,True,False,True,18,good,False,False,,11
97,565000,2426,81.1,12.3,2,False,Werribee,True,False,False,False,8,needs TLC,False,False,,37
98,545000,3084,79.4,8.9,1,False,Footscray,True,False,False,True,10,good,False,True,,19
99,593000,1077,106.8,5.3,2,False,Box Hill,True,False,False,False,14,new,True,True,,29
100,385000,2194,80.6,9.3,1,True,Sunbury,False,False,False,False,9,good,False,True,,53
101,662000,1679,101.0,6.6,2,False,Footscray,True,False,False,False,10,good,False,True,,9
102,686000,3109,93.8,9.5,2,False,St Kilda,True,True,False,True,20,good,False,False,,35
103,782000,1765,129.3,13.8,3,False,Melbourne CBD,True,False,False,False,15,good,False,False,,19
104,536000,3457,56.9,7.0,1,False,Brunswick,True,True,False,True,12,needs TLC,False,False,,16
105,574000,1830,64.0,9.6,1,True,Carlton,False,False,True,True,18,good,False,False,,15
106,752000,2499,125.6,13.7,3,True,Richmond,False,True,False,True,16,good,False,True,,13
107,651000,1039,89.3,14.6,2,False,Footscray,False,False,False,False,10,good,False,True,,14
108,624000,3405,97.5,12.9,2,True,Box Hill,False,False,False,False,14,needs TLC,False,True,,16
109,656000,2530,93.1,0.9,2,True,Balwyn,True,True,False,True,22,needs TLC,False,True,,16
110,616000,1511,111.9,12.7,3,True,Sunbury,True,False,False,True,9,good,False,False,,41
111,502000,2765,114.0,3.9,3,True,Geelong,True,False,False,True,11,good,False,True,,51
112,628000,2879,107.6,2.7,2,False,Balwyn,True,True,False,True,22,good,False,False,,22
113,541000,3948,95.6,4.6,2,False,Werribee,True,True,False,True,8,good,False,False,,45
114,709000,1468,127.7,13.9,3,False,Richmond,False,True,False,False,16,good,False,False,,23
115,781000,2232,95.7,15.2,3,False,Richmond,False,True,False,False,16,new,False,False,,5
116,583000,2277,98.1,0.8,2,False,Balwyn,True,False,False,False,22,new,False,False,,28
117,770000,2063,102.2,12.7,3,True,Carlton,False,False,False,True,18,new,False,False,,17
118,630000,2115,100.1,5.3,2,False,Brunswick,True,False,False,False,12,good,False,True,,19
119,779000,1903,101.1,13.0,3,False,Box Hill,False,False,False,True,14,good,False,False,,16
120,675000,2275,120.1,11.4,3,False,Balwyn,True,True,False,True,22,new,False,False,,14
